1-PHOSPHATIDYLINOSITOL-KINASE-RXN,0
RXN-13685,0
1.8.4.12-RXN,0
TOCOPHEROL-O-METHYLTRANSFERASE-RXN,0
RXN-8926,0
2.4.1.46-RXN,0
RXN-6883,0
RXN-13299,0
RXN0-6957,0
RXN-5841,0
RXN-1381,0
RXN0-7010,0
RXN-10660,0
RXN-20268,0
THREONINE--TRNA-LIGASE-RXN,0
RXN-12281,0
D-LACTATE-DEHYDROGENASE-CYTOCHROME-RXN,0
4.2.1.58-RXN,1
RXN-13307,0
RXN-8369,0
CITSYN-RXN,0
RXN-9635,0
RXN-11371,0
RXN-17864,0
RXN-7795,0
FERREDOXIN--NITRITE-REDUCTASE-RXN,0
ADPREDUCT-RXN,1
RXN-20923,0
PHOSPHATIDATE-PHOSPHATASE-RXN,0
6PFRUCTPHOS-RXN,1
RXN-9944,0
RXN0-6566,0
RXN-9662,1
RXN-9632,1
RXN-17861,0
RXN-9279,0
RXN-17632,0
TDCEACT-RXN,0
RXN-17018,1.000000e+00
RXN-10032,0
RXN-8311,0
PANTOTHENATE-KIN-RXN,0
RXN-9235,0
dRXN_MALONYL-COA-ACP-TRANSACYL-RXN_CYTOPLASM,1
2.4.1.142-RXN,0
ACYLACPSYNTH-RXN,0
FERRIC-CHELATE-REDUCTASE-RXN,0
2OXOGLUTDECARB-RXN,0
RXN-7666,0
2.7.11.2-RXN,0
RXN-18704,0
RXN-9659,1
2.4.1.119-RXN,0
SPHINGANINE-KINASE-RXN,0
RXN-9539,1
RXN-9520,1
PEPCARBOX-RXN,1
RXN-15082,0
RXN-12361,1
RXN-18454,0
RXN-7683,0
SHIKIMATE-5-DEHYDROGENASE-RXN,1
RXN-8303,0
PYRUFLAVREDUCT-RXN,1
RXN-20353,0
RXN-15560,0
RXN-18908,0
RXN0-2144,0
RXN-15025,0
RXN-9655,1
RXN-9515,0
RXN-12618,0
FARNESYLTRANSTRANSFERASE-RXN,1
3-HYDROXYISOBUTYRYL-COA-HYDROLASE-RXN,1.000000e+00
RXN-17997,0
R82-RXN,0
RXN-11187,0
RXN1G-1439,0
RXN-18916,0
RXN-12123,0
DISULFOXRED-RXN,0
RXN-15027,0
RXN-13605,0
RXN-18427,0
2.7.12.1-RXN,0
RXN1F-66,1
RXN-16048,0
5-NUCLEOTID-RXN,0
RXN-9533,1
RXN-8664,0
23-DIMETHYLMALATE-LYASE-RXN,0
RXN-9667,0
RXN-10706,0
RXN-16900,0
RXN-16805,0
RXN-20269,0
RXN-11602,0
RXN-11637,0
HYDROXYMETHYLGLUTARYL-COA-LYASE-RXN,0
4.2.1.59-RXN,1
RXN-19348,0
RXN-4313,0
RXN-14950,0
4.2.99.18-RXN,0
ATP-CITRATE-PRO-S--LYASE-RXN,0
RXN-9530,0
RXN-14517,0
RXN-17912,0
RXN-4243,0
RXN-11321,0
RXN0-5063,0
RXN-15977,0
RXNQT-4300,0
ASPARAGINE--TRNA-LIGASE-RXN,0
RXN1F-147,1
RXN-17890,0
RXN0-363,0
RXN0-4401,0
4.2.1.93-RXN,0
RXN0-1132,1
RXNQT-4166,0
RXN-9663,1
RXN-9633,1
RXN-8141,0
RXN-9526,0
RXN-17862,0
XMPXAN-RXN,0
R147-RXN,0
RXN-12473,0
RXN-15407,0
3.4.16.5-RXN,0
RXN-12005,0
ARGININE--TRNA-LIGASE-RXN,0
RXN-16892,0
DEOXYGUANOSINE-KINASE-RXN,0
RXN-19676,0
RXNQT-4174,0
URACIL-PRIBOSYLTRANS-RXN,0
2.7.7.14-RXN,1
MYO-INOSITOL-OXYGENASE-RXN,0
RXN0-279,0
ACYLAMINOACYL-PEPTIDASE-RXN,0
RXN-15881,0
RXN-12503,0
RXN0-5055,0
3-HYDROXYDECANOYL-ACP-DEHYDR-RXN,0
RXN-16869,0
RXN-9660,1
GLYOXII-RXN,0
2.1.1.135-RXN,0
1.3.7.5-RXN,0
RXN-9521,0
RXN-17859,0
SULFITE-REDUCTASE-FERREDOXIN-RXN,0
RXN-17191,0
RXN0-2382,0
RXN-15843,0
RXN-3521,0
RXN-17016,0
RXN-15372,0
4-HYDROXYPHENYLPYRUVATE-DIOXYGENASE-RXN,0
DADPKIN-RXN,1
NITRITE-REDUCTASE-CYTOCHROME-RXN,0
